model_name,model_year,trim_variant,body_type,length_mm,width_mm,height_mm,wheelbase_mm,curb_weight_kg,exterior_colors_available,interior_materials_colors,engine_type,displacement_cc,cylinders,horsepower_hp,torque_nm,transmission,drivetrain,acceleration_0_100_s,top_speed_kmh,fuel_consumption_combined,co2_emissions,electric_range_km,infotainment,safety_features,wheel_sizes_available,base_msrp_usd
3 Series,2000,318i,Sedan,4471,1739,1415,2725,1320,"Sunset Orange, Glacier Silver, Space Grey","Leather, Vernasca Leather",Petrol,1895,Inline-4,118,180,Manual/Automatic,RWD,11.3,195,7.8,186,,Business Radio,"ABS, ASC","17 inch, 20 inch",32000
3 Series,2000,320i,Sedan,4471,1739,1415,2725,1385,"Glacier Silver, Phytonic Blue, Alpine White","Nappa Leather, Vernasca Leather",Petrol,2171,Inline-6,150,210,Manual/Automatic,RWD,9.4,218,8.9,213,,Business CD,"ABS, ASC","21 inch, 19 inch",32000
5 Series,2000,520i,Sedan,4775,1800,1435,2830,1520,"Sophisto Grey, Melbourne Red, Arctic Race Blue","Nappa Leather, Extended Merino",Petrol,2171,Inline-6,150,210,Manual/Automatic,RWD,10.5,210,9.0,215,,Business Radio,"ABS, ASC","18 inch, 19 inch",42000
5 Series,2000,M5,Sedan,4775,1800,1435,2830,1795,"Barcelona Blue, Jet Black, Sophisto Grey","Alcantara, Leather",Petrol,4941,V8,400,500,Manual,RWD,5.3,250,14.0,335,,Business Navigation,"ABS, ASC, DSC","21 inch, 22 inch",42000
X5,2000,3.0i,SUV,4667,1882,1707,2820,2070,"Phytonic Blue, Carbon Black, Storm Bay","Merino Leather, Vernasca Leather",Petrol,2979,Inline-6,231,300,Manual/Automatic,AWD,8.5,210,12.5,298,,Business Radio,"ABS, ASC, xDrive","20 inch, 19 inch",42000
Z8,2000,Base,Roadster,4398,1830,1319,2570,1585,"Carbon Black, Mineral Grey, Alpine White","Sensatec, Individual Leather",Petrol,4941,V8,400,500,Manual,RWD,4.2,250,13.8,330,,Business Radio,"ABS, ASC","18 inch, 21 inch",128000
3 Series,2001,330i,Sedan,4471,1739,1415,2725,1450,"Carbon Black, Sophisto Grey, Alpine White","Extended Merino, Merino Leather",Petrol,2979,Inline-6,231,300,Manual/Automatic,RWD,6.8,250,9.8,235,,Business CD,"ABS, ASC, DSC","20 inch, 17 inch",38000
5 Series,2001,525i Touring,Wagon,4775,1800,1435,2830,1580,"Alpine White, Carbon Black, Space Grey","Leather, Sensatec",Petrol,2494,Inline-6,192,245,Manual/Automatic,RWD,8.5,235,9.2,220,,Business Radio,"ABS, ASC","19 inch, 18 inch",46000
M3,2001,E46,Coupe,4492,1780,1383,2725,1570,"Sophisto Grey, Carbon Black, Phytonic Blue","Nappa Leather, Leather",Petrol,3246,Inline-6,343,365,Manual/SMG,RWD,5.2,250,12.4,295,,Business Radio,"ABS, ASC, M Sport Brakes","19 inch, 22 inch",48000
7 Series,2002,730i,Sedan,5029,1902,1484,2990,1830,"Barcelona Blue, Carbon Black, Midnight Black","Vernasca Leather, Individual Leather",Petrol,2979,Inline-6,231,300,Automatic,RWD,8.3,240,11.0,262,,iDrive 1.0,"ABS, DSC, Multiple Airbags","17 inch, 21 inch",75000
3 Series,2003,320d,Sedan,4471,1739,1415,2725,1445,"Jet Black, Sophisto Grey, Midnight Black","Individual Leather, Merino Leather",Diesel,1995,Inline-4,150,330,Manual/Automatic,RWD,8.9,220,5.9,158,,Business CD,"ABS, ASC, DSC","21 inch, 22 inch",35000
7 Series,2003,760i,Sedan,5029,1902,1484,2990,2070,"Carbon Black, Phytonic Blue, Midnight Black","Individual Leather, Vernasca Leather",Petrol,5972,V12,445,600,Automatic,RWD,5.5,250,15.5,370,,iDrive 1.0,"ABS, DSC, Active Protection","20 inch, 19 inch",125000
Z4,2003,2.5i,Roadster,4089,1781,1291,2496,1395,"Mineral Grey, Sophisto Grey, Jet Black","Dakota Leather, Leather",Petrol,2494,Inline-6,192,245,Manual/Automatic,RWD,7.4,228,9.1,218,,Business Radio,"ABS, DSC","18 inch, 20 inch",36000
5 Series,2004,525i,Sedan,4841,1846,1468,2888,1565,"Alpine White, Sophisto Grey, Arctic Race Blue","Sensatec, Dakota Leather",Petrol,2494,Inline-6,192,245,Manual/Automatic,RWD,8.5,235,8.8,210,,iDrive 1.0,"ABS, DSC, Airbags","17 inch, 21 inch",48000
6 Series,2004,630i Coupe,Coupe,4820,1855,1373,2781,1710,"Alpine White, Jet Black, Glacier Silver","Leather, Vernasca Leather",Petrol,2996,Inline-6,258,300,Manual/Automatic,RWD,6.9,250,11.4,270,,iDrive 1.0,"ABS, DSC, Multiple Airbags","17 inch, 20 inch",65000
X3,2004,2.5i,SUV,4565,1853,1674,2795,1795,"Mineral White, Barcelona Blue, Mineral Grey","Extended Merino, Merino Leather",Petrol,2494,Inline-6,192,245,Manual/Automatic,AWD,9.1,200,10.7,256,,Business Radio,"ABS, DSC, xDrive","17 inch, 22 inch",38000
X5,2004,4.4i,SUV,4667,1882,1707,2820,2270,"Jet Black, Space Grey, Carbon Black","Vernasca Leather, Alcantara",Petrol,4398,V8,320,440,Automatic,AWD,6.5,240,14.7,351,,Business Navigation,"ABS, DSC, xDrive","19 inch, 17 inch",48000
1 Series,2005,116i,Hatchback,4239,1751,1421,2660,1320,"Barcelona Blue, Arctic Race Blue, Phytonic Blue","Dakota Leather, Merino Leather",Petrol,1596,Inline-4,115,150,Manual/Automatic,RWD,10.4,190,7.2,172,,Business Radio,"ABS, DSC","22 inch, 18 inch",28000
3 Series,2005,320i,Sedan,4520,1817,1421,2760,1445,"Mineral Grey, Space Grey, Arctic Race Blue","Dakota Leather, Individual Leather",Petrol,1995,Inline-4,150,200,Manual/Automatic,RWD,9.2,215,7.7,184,,iDrive 1.0,"ABS, DSC, Airbags","17 inch, 22 inch",34000
5 Series,2005,M5,Sedan,4855,1846,1469,2888,1830,"Jet Black, Barcelona Blue, Midnight Black","Dakota Leather, Extended Merino",Petrol,4999,V10,507,520,Manual/SMG,RWD,4.7,250,16.0,384,,iDrive 2.0,"ABS, DSC, M Sport Brakes","21 inch, 19 inch",85000
6 Series,2005,M6,Coupe,4871,1855,1377,2781,1710,"Midnight Black, Sophisto Grey, Space Grey","Nappa Leather, Alcantara",Petrol,4999,V10,507,520,Manual/SMG,RWD,4.6,250,16.9,405,,iDrive 2.0,"ABS, DSC, M Sport Brakes","22 inch, 17 inch",98000
Z4,2006,M Coupe,Coupe,4091,1781,1293,2496,1420,"Mineral White, Carbon Black, Storm Bay","Dakota Leather, Extended Merino",Petrol,3246,Inline-6,343,365,Manual,RWD,4.9,250,11.2,267,,Business Navigation,"ABS, DSC, M Sport Brakes","19 inch, 21 inch",52000
1 Series,2007,135i,Coupe,4380,1748,1408,2660,1495,"Sophisto Grey, Storm Bay, Alpine White","Sensatec, Nappa Leather",Petrol,2979,Inline-6 Twin-Turbo,306,400,Manual/Automatic,RWD,5.3,250,9.6,224,,iDrive 2.0,"ABS, DSC, Multiple Airbags","18 inch, 20 inch",50000
